   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   4.003	  0.7900	-0.046700	 -0.0841	0.008566	  0.7913	  0.7913	0.009436	  199.16	   0.000	9.940E+5	   0.074	  388.03	   25.56	   165.6	 1013.58	   24.07	 0.16786	 0.06904	-0.00609	-0.08692	-0.16982	-0.25985	-0.35185	-0.44750	-0.53464	-0.62183	-0.70028	-0.81953	-0.99445	-1.03593	-1.08098	-1.12966	-1.17315	-1.20187	-1.22189	-1.22814	-1.23317	-1.23148	-1.24386	-1.24190	-1.22393	-1.18564	-1.18502	-1.20972	-1.25174	-1.20432	-1.15130	-1.10285	-1.08052	-1.03510	-0.99488	-0.84397	-0.64791	-0.32517	 0.12587	 0.38889	 0.40853	 1.00000	 0.87914	 0.68578	 0.50270	 0.36108	 0.23916	 0.13830	 0.07264	 0.00674	-0.05957	-0.10625	-0.14819	-0.17461	-0.18357	-0.15505	-0.10889	-0.06150	-0.02071	 0.11760	 0.18107	 0.29682	 0.16945	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97963	 0.94505	 0.89402	 0.83766	 0.78913	 0.75420	 0.74718	 0.76485	 0.80741	 0.84605	 0.89650	 0.94091	 0.97643	 0.99246	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04540	 0.04617	 0.04082	 0.00516	 0.02799	 0.02845	 0.02400	 0.02013	 0.01546	 0.01495	 0.01001	 0.00675	 0.00399	-0.00581	-0.01436	-0.02526	
       2	   0.007	  0.2989	0.007800	 -0.0755	0.007838	  0.2989	  0.2989	0.007478	  200.86	   0.000	9.972E+5	   0.074	  389.85	   25.61	   166.4	 1013.52	   23.86	 0.17641	 0.08104	 0.01830	-0.04981	-0.12005	-0.19308	-0.26643	-0.33970	-0.40185	-0.50162	-0.63712	-0.67588	-0.71607	-0.76876	-0.80811	-0.83725	-0.85635	-0.85850	-0.85009	-0.83084	-0.81023	-0.77583	-0.75804	-0.72111	-0.67463	-0.61170	-0.56530	-0.53805	-0.51779	-0.42405	-0.31883	-0.20840	-0.11959	 0.00960	 0.14933	 0.35768	 0.56591	 0.79873	 0.96426	 0.99089	 0.99789	 0.51827	 0.16962	-0.05520	-0.16626	-0.24870	-0.31185	-0.35932	-0.37050	-0.39543	-0.42441	-0.43517	-0.44411	-0.43946	-0.41586	-0.35679	-0.29906	-0.23971	-0.06834	 0.01727	 0.11133	 0.26389	 0.17732	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99187	 0.97169	 0.93327	 0.88411	 0.83461	 0.78859	 0.76331	 0.76495	 0.79638	 0.83112	 0.88198	 0.92997	 0.97228	 0.99161	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02556	 0.02917	 0.02677	-0.00185	 0.01866	 0.02149	 0.01881	 0.01745	 0.01426	 0.01493	 0.01199	 0.01081	 0.01001	 0.00397	-0.00110	-0.00840	
       3	   6.005	  1.0191	-0.097686	 -0.0865	0.009459	  1.0237	  1.0235	0.011330	  199.22	   0.000	9.949E+5	   0.074	  387.53	   25.53	   165.4	 1013.53	   23.70	 0.15535	 0.06586	-0.01219	-0.09732	-0.18560	-0.28248	-0.38315	-0.48760	-0.58551	-0.68840	-0.78965	-0.89121	-0.97405	-1.16628	-1.23814	-1.27508	-1.33098	-1.37285	-1.40465	-1.42646	-1.44689	-1.45432	-1.48413	-1.50845	-1.50853	-1.49092	-1.51758	-1.57215	-1.64934	-1.63805	-1.61843	-1.61565	-1.64814	-1.67411	-1.71611	-1.64113	-1.50592	-1.21845	-0.67263	-0.35644	-0.34236	 0.92364	 0.99144	 0.88806	 0.72645	 0.58439	 0.45373	 0.33711	 0.25509	 0.17971	 0.10006	 0.03981	-0.01431	-0.05265	-0.07493	-0.06138	-0.02787	 0.01236	 0.05404	 0.12963	 0.21812	 0.31075	 0.15786	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99097	 0.96920	 0.93081	 0.87850	 0.82230	 0.77428	 0.73972	 0.73221	 0.74879	 0.79081	 0.83001	 0.88148	 0.92752	 0.96726	 0.98704	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05566	 0.05525	 0.04842	 0.00923	 0.03307	 0.03317	 0.02808	 0.02214	 0.01734	 0.01677	 0.01104	 0.00679	 0.00301	-0.00854	-0.01880	-0.03150	
       4	   0.004	  0.2976	0.007829	 -0.0755	0.007848	  0.2976	  0.2976	0.007550	  180.82	   0.000	9.993E+5	   0.074	  390.27	   25.61	   166.5	 1013.50	   23.50	 0.17574	 0.08050	 0.01789	-0.05015	-0.12032	-0.19312	-0.26651	-0.33986	-0.40197	-0.49378	-0.63798	-0.67641	-0.71623	-0.76811	-0.80718	-0.83549	-0.85490	-0.85822	-0.84913	-0.82908	-0.80817	-0.77381	-0.75588	-0.71854	-0.67299	-0.60947	-0.56256	-0.53532	-0.51542	-0.42167	-0.31630	-0.21167	-0.11684	 0.01222	 0.15213	 0.35919	 0.56854	 0.80039	 0.96532	 0.99198	 0.99770	 0.51622	 0.16788	-0.05746	-0.16756	-0.25059	-0.31253	-0.36030	-0.37087	-0.39611	-0.42546	-0.43575	-0.44424	-0.44024	-0.41652	-0.35741	-0.29931	-0.23785	-0.06847	 0.01748	 0.11059	 0.26371	 0.17734	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99243	 0.97256	 0.93366	 0.88453	 0.83449	 0.78799	 0.76243	 0.76422	 0.79564	 0.83058	 0.88133	 0.92956	 0.97198	 0.99162	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02546	 0.02919	 0.02681	-0.00176	 0.01996	 0.02162	 0.01901	 0.01763	 0.01444	 0.01516	 0.01223	 0.01104	 0.01030	 0.00413	-0.00087	-0.00826	
       5	   1.004	  0.4255	0.000436	 -0.0785	0.007894	  0.4254	  0.4254	0.007974	  179.21	   0.000	9.989E+5	   0.074	  389.92	   25.60	   166.4	 1013.50	   23.48	 0.17415	 0.07673	 0.01075	-0.06063	-0.13374	-0.21150	-0.28970	-0.36915	-0.43485	-0.49434	-0.70425	-0.74078	-0.77786	-0.83027	-0.87461	-0.90884	-0.93454	-0.94478	-0.94131	-0.92669	-0.91257	-0.88586	-0.87505	-0.84531	-0.80634	-0.74881	-0.70998	-0.69451	-0.68911	-0.60548	-0.50886	-0.41757	-0.33314	-0.21845	-0.09142	 0.11285	 0.33553	 0.60875	 0.85738	 0.95740	 0.96985	 0.73041	 0.40981	 0.17215	 0.02702	-0.07701	-0.15824	-0.22355	-0.25060	-0.28754	-0.32770	-0.34852	-0.36617	-0.37087	-0.35590	-0.30374	-0.24467	-0.20672	-0.03179	 0.04153	 0.12796	 0.27182	 0.17554	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98514	 0.95455	 0.90857	 0.85204	 0.80327	 0.76849	 0.75741	 0.77246	 0.80836	 0.85918	 0.90881	 0.95913	 0.98228	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03070	 0.03355	 0.03024	 0.00000	 0.02123	 0.02260	 0.01942	 0.01766	 0.01448	 0.01381	 0.01023	 0.00849	 0.00716	-0.00002	-0.00594	-0.01421	
       6	   2.002	  0.5474	-0.010959	 -0.0806	0.008167	  0.5474	  0.5474	0.008157	  180.78	   0.000	9.987E+5	   0.074	  389.67	   25.59	   166.3	 1013.46	   23.44	 0.17203	 0.07324	 0.00390	-0.07082	-0.14724	-0.22901	-0.31196	-0.39736	-0.47016	-0.53826	-0.64583	-0.81286	-0.84396	-0.89390	-0.94133	-0.98138	-1.01260	-1.03002	-1.03279	-1.02548	-1.01852	-0.99845	-0.99468	-0.97392	-0.94071	-0.89112	-0.86216	-0.85915	-0.86740	-0.79629	-0.70986	-0.63259	-0.56192	-0.46856	-0.36153	-0.16651	 0.05963	 0.36175	 0.68364	 0.84650	 0.86180	 0.87936	 0.60478	 0.36848	 0.20194	 0.08005	-0.01874	-0.09786	-0.13904	-0.18699	-0.23700	-0.26695	-0.29320	-0.30546	-0.29900	-0.25461	-0.19734	-0.15340	-0.01201	 0.06395	 0.14463	 0.27976	 0.17350	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98788	 0.96086	 0.91466	 0.86031	 0.80912	 0.76778	 0.75256	 0.76444	 0.80329	 0.84098	 0.89194	 0.93808	 0.97596	 0.99299	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03530	 0.03759	 0.03366	 0.00150	 0.02407	 0.02478	 0.02140	 0.01879	 0.01485	 0.01483	 0.01093	 0.00872	 0.00700	-0.00101	-0.00795	-0.01710	
       7	   2.999	  0.6697	-0.026681	 -0.0827	0.008391	  0.6702	  0.6701	0.009143	  179.16	   0.000	9.981E+5	   0.074	  389.19	   25.57	   166.1	 1013.45	   23.44	 0.16961	 0.07040	-0.00191	-0.07977	-0.15950	-0.24539	-0.33291	-0.42354	-0.50346	-0.58160	-0.65068	-0.87922	-0.91673	-0.96221	-1.01018	-1.05475	-1.09293	-1.11575	-1.12731	-1.12620	-1.12543	-1.11293	-1.11699	-1.10492	-1.08098	-1.03220	-1.01968	-1.03097	-1.05442	-0.99105	-0.92410	-0.85971	-0.81041	-0.74266	-0.66197	-0.48432	-0.26826	 0.04968	 0.43998	 0.65493	 0.67368	 0.96947	 0.76188	 0.54001	 0.36128	 0.22590	 0.11462	 0.02347	-0.03091	-0.08889	-0.14698	-0.18629	-0.22001	-0.24030	-0.24130	-0.20476	-0.15283	-0.10550	-0.02153	 0.08969	 0.16232	 0.28765	 0.17129	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98409	 0.95294	 0.90380	 0.84774	 0.79754	 0.75925	 0.74864	 0.76405	 0.80532	 0.84357	 0.89472	 0.93983	 0.97630	 0.99275	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04016	 0.04178	 0.03715	 0.00313	 0.02529	 0.02658	 0.02266	 0.01956	 0.01515	 0.01492	 0.01046	 0.00767	 0.00549	-0.00345	-0.01125	-0.02137	
       8	   3.992	  0.7875	-0.046298	 -0.0839	0.008645	  0.7888	  0.7888	0.009512	  180.76	   0.000	9.980E+5	   0.074	  389.06	   25.57	   166.0	 1013.43	   23.41	 0.16680	 0.06863	-0.00647	-0.08717	-0.16996	-0.25986	-0.35171	-0.44716	-0.53364	-0.62082	-0.70004	-0.80846	-0.99619	-1.03542	-1.08087	-1.12710	-1.17162	-1.20175	-1.21960	-1.22506	-1.23152	-1.22882	-1.24061	-1.23870	-1.22148	-1.18230	-1.18245	-1.20579	-1.24751	-1.20037	-1.14738	-1.09902	-1.07472	-1.03078	-0.98891	-0.83771	-0.64080	-0.32033	 0.13298	 0.39420	 0.41119	 1.00000	 0.87806	 0.68339	 0.50113	 0.35882	 0.23763	 0.13677	 0.07190	 0.00532	-0.06104	-0.10735	-0.14903	-0.17579	-0.18485	-0.15592	-0.10941	-0.06207	-0.02196	 0.11751	 0.18042	 0.29579	 0.16877	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98035	 0.94658	 0.89534	 0.83848	 0.78855	 0.75222	 0.74412	 0.76135	 0.80391	 0.84254	 0.89359	 0.93854	 0.97520	 0.99203	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04544	 0.04633	 0.04103	 0.00525	 0.02815	 0.02878	 0.02447	 0.02051	 0.01597	 0.01548	 0.01063	 0.00737	 0.00465	-0.00516	-0.01381	-0.02473	
       9	   5.004	  0.9028	-0.070025	 -0.0859	0.008992	  0.9055	  0.9053	0.010816	  179.25	   0.000	9.974E+5	   0.074	  388.49	   25.55	   165.8	 1013.43	   23.40	 0.16253	 0.06708	-0.00995	-0.09284	-0.17876	-0.27216	-0.36810	-0.46787	-0.55972	-0.65479	-0.74596	-0.83352	-1.00567	-1.11418	-1.15399	-1.19966	-1.24785	-1.28431	-1.30858	-1.32244	-1.33552	-1.33415	-1.35480	-1.36953	-1.36013	-1.33008	-1.34316	-1.38097	-1.44089	-1.40928	-1.37156	-1.34973	-1.34750	-1.33469	-1.33101	-1.21368	-1.03884	-0.73094	-0.23005	 0.06456	 0.07932	 0.98611	 0.95303	 0.79653	 0.62072	 0.47501	 0.34821	 0.23677	 0.16278	 0.09308	 0.01934	-0.03353	-0.08207	-0.11490	-0.13049	-0.10867	-0.06867	-0.02390	 0.01566	 0.13602	 0.19850	 0.30331	 0.16465	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.97774	 0.94267	 0.89051	 0.83295	 0.78282	 0.74635	 0.73809	 0.75414	 0.79547	 0.83474	 0.88636	 0.93198	 0.97077	 0.98940	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05069	 0.05100	 0.04483	 0.00762	 0.03151	 0.03141	 0.02662	 0.02178	 0.01715	 0.01654	 0.01130	 0.00756	 0.00429	-0.00636	-0.01593	-0.02775	
      10	   6.005	  1.0176	-0.097493	 -0.0864	0.009499	  1.0223	  1.0221	0.011376	  180.83	   0.000	9.967E+5	   0.074	  387.96	   25.53	   165.6	 1013.44	   23.39	 0.15437	 0.06555	-0.01254	-0.09758	-0.18584	-0.28269	-0.38343	-0.48787	-0.58488	-0.68795	-0.78859	-0.89075	-0.97375	-1.15966	-1.23850	-1.27414	-1.33050	-1.37144	-1.40384	-1.42467	-1.44537	-1.45282	-1.48255	-1.50715	-1.50779	-1.48893	-1.51602	-1.57000	-1.64805	-1.63606	-1.61695	-1.62006	-1.64590	-1.67179	-1.71293	-1.63828	-1.50214	-1.21608	-0.66936	-0.35297	-0.34146	 0.92348	 0.99109	 0.88746	 0.72602	 0.58310	 0.45311	 0.33633	 0.25451	 0.17884	 0.09914	 0.03941	-0.01520	-0.05374	-0.07578	-0.06176	-0.02855	 0.01144	 0.05345	 0.12912	 0.21724	 0.30993	 0.15766	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99115	 0.96959	 0.93084	 0.87784	 0.82097	 0.77241	 0.73796	 0.73104	 0.74800	 0.79039	 0.82963	 0.88102	 0.92729	 0.96680	 0.98654	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05539	 0.05511	 0.04827	 0.00942	 0.03358	 0.03332	 0.02821	 0.02218	 0.01750	 0.01707	 0.01136	 0.00713	 0.00350	-0.00818	-0.01855	-0.03125	
      11	   7.002	  1.1198	-0.127039	 -0.0858	0.010420	  1.1270	  1.1267	0.012570	  179.15	   0.000	9.960E+5	   0.074	  387.39	   25.51	   165.3	 1013.42	   23.38	 0.13577	 0.06164	-0.01315	-0.09736	-0.18712	-0.28734	-0.39176	-0.50016	-0.60226	-0.71174	-0.82057	-0.93580	-1.03061	-1.11326	-1.26371	-1.35006	-1.41036	-1.45526	-1.49223	-1.51789	-1.54562	-1.56333	-1.60107	-1.63539	-1.64506	-1.63867	-1.68016	-1.74954	-1.84387	-1.85302	-1.85370	-1.88378	-1.93872	-2.00537	-2.09401	-2.06605	-1.97607	-1.72125	-1.14106	-0.81098	-0.80404	 0.82015	 0.99498	 0.94854	 0.80932	 0.67366	 0.54371	 0.42386	 0.33623	 0.25567	 0.17093	 0.10589	 0.04592	 0.00210	-0.02642	-0.01964	 0.00806	 0.04263	 0.08522	 0.12902	 0.23605	 0.31361	 0.14272	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99454	 0.98448	 0.95972	 0.92136	 0.87164	 0.81837	 0.77139	 0.73604	 0.72424	 0.73496	 0.76985	 0.80576	 0.85509	 0.90238	 0.94725	 0.97394	 0.98950	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05990	 0.05916	 0.05185	 0.01111	 0.03596	 0.03570	 0.03022	 0.02231	 0.01798	 0.01842	 0.01235	 0.00764	 0.00359	-0.00888	-0.02008	-0.03365	
      12	   7.992	  1.1895	-0.153788	 -0.0806	0.013093	  1.1994	  1.1992	0.014381	  180.76	   0.000	9.954E+5	   0.074	  386.84	   25.49	   165.1	 1013.42	   23.37	 0.08907	 0.04145	-0.01660	-0.09002	-0.17439	-0.27365	-0.38048	-0.49173	-0.59933	-0.71416	-0.83142	-0.95404	-1.06319	-1.16507	-1.25403	-1.32813	-1.40253	-1.49371	-1.55840	-1.59153	-1.62661	-1.65405	-1.69941	-1.74123	-1.75925	-1.76548	-1.82260	-1.90394	-2.01231	-2.03947	-2.06120	-2.11404	-2.20034	-2.30470	-2.43690	-2.45089	-2.41506	-2.19421	-1.59221	-1.25758	-1.25665	 0.69505	 0.97428	 0.98229	 0.86832	 0.73854	 0.61388	 0.49276	 0.40090	 0.31383	 0.22811	 0.15811	 0.09340	 0.04449	 0.01033	 0.01097	 0.03346	 0.06177	 0.10386	 0.14250	 0.23138	 0.30579	 0.09438	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98859	 0.97649	 0.95439	 0.92468	 0.88578	 0.84283	 0.80050	 0.76005	 0.73185	 0.72012	 0.72407	 0.73829	 0.76741	 0.80350	 0.84886	 0.88741	 0.92310	 0.94867	 0.97383	 0.98743	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.06212	 0.06121	 0.05383	 0.01200	 0.03751	 0.03734	 0.03149	 0.01939	 0.01528	 0.01960	 0.01370	 0.00854	 0.00422	-0.00884	-0.02062	-0.03491	
